capitales	proposition	occurrences	accent_possible
POISSONI	Poissoni	2	
JETI	Jeti	2	oui
JOUEURBADGES	Joueurbadges	2	oui
DO	Do	2	
PIM	Pim	2	
GAME	Game	2	oui
FREAK	Freak	2	
SBIRE	Sbire	2	
GRAAAAAAAH	Graaaaaaah	1	
GRAAAAAAH	Graaaaaah	1	
PLANNING	Planning	1	oui
DEVELOPMENT	Development	1	oui
DEPT	Dept	1	oui
LEVIA	Levia	1	oui
TOR	Tor	1	
PEPITES	Pépites	1	oui
HYPE	Hype	1	
FATAL	Fatal	1	
BOUL'	Boul'	1	
ECRASE	Écrase	1	oui
GERMAINE	Germaine	1	oui
LIZ	Liz	1	
JOUETPIKACHU	Jouetpikachu	1	oui
RUBANS	Rubans	1	oui
ROSES	Roses	1	oui
AMEDEE	Amédée	1	oui
ENTRAVEE	Entravée	1	oui
LIGOTE	Ligote	1	
PROTECT	Protect	1	oui
SOCIO	Socio	1	
FM	Fm	1	
ETEINDRE	Éteindre	1	oui
SPECIALISTE	Specialiste	1	oui
PIERRES	Pierres	1	oui
LET	Let	1	oui
GO	Go	1	
STYLO	Stylo	1	
GRAPH	Graph	1	
SERMENT	Serment	1	oui
LAZARE	Lazare	1	
ARG	Arg	1	
EFFACER	Effacer	1	oui
FOUR	Four	1	
CHARBONNIER	Charbonnier	1	oui
SALLES	Salles	1	oui
EFFACEUR	Effaceur	1	oui
PRODUCTEUR	Producteur	1	
ARTISTE	Artiste	1	
GRAPHIQUE	Graphique	1	
DIPLOME	Diplôme	1	
VILLA	Villa	1	
MENTAL	Mental	1	oui
COUPONS	Coupons	1	
GUIDES	Guides	1	oui
WAHAHAH	Wahahah	1	
AILE	Aile	1	oui
PSNPARSOMBRUGELRET	Psnparsombrugelret	1	oui
MAGASIN	Magasin	1	
CYCLES	Cycles	1	oui
NOTEUR	Noteur	1	
ACCUEIL	Accueil	1	
PANORAMA	Panorama	1	oui
INTERDITE	Interdite	1	oui
MUSICAL	Musical	1	
CD	Cd	1	
BENEVOLAT	Bénévolat	1	oui
SQUARE	Square	1	
HUGH	Hugh	1	
MARC	Marc	1	
AIRE	Aire	1	
SCINTILLANT	Scintillant	1	oui
FRAICHE	Fraiche	1	
BURGER	Burger	1	oui
LINK	Link	1	
TROC	Troc	1	
PRESI	Presi	1	oui
OUAIIIS	Ouaiiis	1	
COOOOOOL	Cooooool	1	
ENTREPOT	Entrepot	1	oui
PONT	Pont	1	
OUEST	Ouest	1	oui
CY	Cy	1	
CLABLE	Clable	1	
MACH	Mach	1	
COMBAAAAT	Combaaaat	1	
COMBAAAT	Combaaat	1	
ORNITHOLOGUES	Ornithologues	1	oui
CHUTES	Chutes	1	oui
TOHJO	Tohjo	1	
GRAAAAA	Graaaaa	1	
SUPEEEER	Supeeeer	1	oui
PIC	Pic	1	
VENIN	Venin	1	oui
ALFRED	Alfred	1	oui
BOBBY	Bobby	1	
MEU	Meu	1	oui
JOH	Joh	1	
FEDERA	Federa	1	oui
PANNEAU	Panneau	1	oui
LASOIE	Lasoie	1	
FRANIA	Frania	1	oui
CRA	Cra	1	
MOIS'	Mois'	1	
CAID	Caïd	1	
ROCKETS	Rockets	1	oui
KAN	Kan	1	oui
MAGI	Magi	1	
CARPE	Carpe	1	
JADE	Jade	1	
RATATOUILLE	Ratatouille	1	
GRAINEJ	Grainej	1	oui
GRAINEL	Grainel	1	oui
GRAINES	Graines	1	oui
LEZARDS'	Lézards'	1	oui
FLAMMES'	Flammes'	1	oui
FLAMMEI	Flammei	1	oui
TORTUES	Tortues	1	oui
VERP	Verp	1	oui
COCONA	Cocona	1	
INSECTOPICS	Insectopics	1	oui
COCONP	Coconp	1	
GUEPOISONI	Guepoisoni	1	oui
MINOISEAUP	Minoiseaup	1	
COBRAP	Cobrap	1	
SOURISE	Sourise	1	
SOURISS	Souriss	1	
VENEPICP	Venepicp	1	oui
PERCEURS	Perceurs	1	oui
PERCEURI	Perceuri	1	oui
FEEO	Feeo	1	
RENARDE	Renarde	1	oui
RENARDO	Renardo	1	oui
BOUBOULEI	Bouboulei	1	
BOUBOULES	Bouboules	1	oui
CHOVSOURISL	Chovsourisl	1	
RACINEL	Racinel	1	oui
RACINEL'	Racinel'	1	oui
VERMINES	Vermines	1	oui
TAUPEI	Taupei	1	
CHADEVILLED	Chadevilled	1	oui
CHIOTI	Chioti	1	
LEGENDAIREU	Légendaireu	1	oui
TETARDL	Tetardl	1	oui
TETARDB	Tetardb	1	oui
TETARDI	Tetardi	1	oui
PSYE	Psye	1	
QI	Qi	1	
COLOSSEB	Colosseb	1	oui
FLEURS'	Fleurs'	1	
CARNIVOREA	Carnivorea	1	
CARNIVORET	Carnivoret	1	oui
MOLLUSQUEE	Mollusquee	1	oui
MOLLUSQUES	Mollusques	1	oui
ROCHEF	Rochef	1	oui
ROCHEI	Rochei	1	
TITANESQUES	Titanesques	1	oui
CRETINI	Crétini	1	oui
MAGNETIQUEL	Magnétiquel	1	oui
MAGNETIQUEQ	Magnétiqueq	1	oui
OTARIES	Otaries	1	oui
OTARIEI	Otariei	1	
DEGUEUQ	Degueuq	1	oui
BIVALVEI	Bivalvei	1	
OMBREI	Ombrei	1	
SERPENROCE	Serpenroce	1	oui
HYPNOSEQ	Hypnoseq	1	oui
HYPNOSEP	Hypnosep	1	oui
CRABES'	Crabes'	1	oui
POIGNEURS	Poigneurs	1	
BALLEL	Ballel	1	oui
BALLEP	Ballep	1	oui
OEUFM	Oeufm	1	
FRUITPALMEE	Fruitpalmee	1	oui
SOLITAIREI	Solitairei	1	
LATTEURO	Latteuro	1	
PUNCHEURP	Puncheurp	1	
MORTELI	Morteli	1	oui
PIQUANTI	Piquanti	1	oui
PERCEURE	Perceure	1	oui
OEUFO	Oeufo	1	
VIGNEE	Vignee	1	oui
MATERNELP	Maternelp	1	oui
DRAGONS'	Dragons'	1	
DRAGONL	Dragonl	1	
POISSONP	Poissonp	1	
POISSONA	Poissona	1	
MYSTERIEUXO	Mysterieuxo	1	oui
BLOQUEURI	Bloqueuri	1	
MANTEI	Mantei	1	oui
ELECTRIQUEQ	Électriqueq	1	oui
POISSONU	Poissonu	1	oui
TERRIFIANTI	Terrifianti	1	oui
TRANSPORTI	Transporti	1	oui
EVOLUTIFS	Évolutifs	1	oui
BULLEURE	Bulleure	1	
FOUDREL	Foudrel	1	oui
FLAMMEA	Flammea	1	oui
VIRTUELU	Virtuelu	1	oui
SPIRALEA	Spiralea	1	
SPIRALES	Spirales	1	oui
FOSSILEA	Fossilea	1	oui
PIONCEURL'	Pionceurl'	1	
GLACIAIRE	Glaciaire	1	
DRAGONE	Dragone	1	
FEUILLEI	Feuillei	1	
FEUILLEL'	Feuillel'	1	oui
HERBET	Herbet	1	oui
SOURIS	Souris	1	
FEUL	Feul	1	
VOLCANA	Volcana	1	oui
VOLCANQ	Volcanq	1	oui
MACHOIREC	Machoirec	1	oui
MACHOIRES	Machoires	1	oui
MACHOIREB	Machoireb	1	oui
ESPIONS'	Espions'	1	oui
ALLONGEI	Allongei	1	
HIBOUI	Hiboui	1	
HIBOUS	Hibous	1	
ETOILESI	Étoilesi	1	oui
ETOILESP	Étoilesp	1	oui
CHOVSOURISE	Chovsourise	1	
LUMIEREI	Lumierei	1	oui
MINISOURISI	Minisourisi	1	
BOUBOULEP	Bouboulep	1	oui
PICI	Pici	1	
BONHEURB	Bonheurb	1	
MYSTIQUEI	Mystiquei	1	
LAINEI	Lainei	1	
LAINES	Laines	1	oui
LUMIEREL	Lumièrel	1	oui
IMITATIONU	Imitationu	1	oui
GRENOUILLES	Grenouilles	1	oui
PISSENLITP	Pissenlitp	1	oui
LONGQUEUES	Longqueues	1	oui
GRAINEI	Grainei	1	
SOLEILA	Soleila	1	
TRANSLAILEI	Translailei	1	oui
SOLEILL	Soleill	1	
LUNEL	Lunel	1	oui
OBSCURITEI	Obscuritéi	1	
ROYALA	Royala	1	
SYMBOLIQUEC	Symboliquec	1	oui
COUL	Coul	1	
CACHEI	Cachei	1	
CACHEO	Cacheo	1	
SERPENFERI	Serpenferi	1	oui
FEEC'	Feec'	1	oui
FEEI	Feei	1	
BOUBOULEF	Bouboulef	1	oui
CISEAUXL	Ciseauxl	1	
POURRIL	Pourril	1	
GRIFACEREEC	Grifacereec	1	oui
MINI	Mini	1	
OURSI	Oursi	1	
LAVES	Laves	1	oui
COCHONI	Cochoni	1	
PORCB	Porcb	1	
CORAILL	Coraill	1	
LIVRAISONI	Livraisoni	1	
CERVOLANTI	Cervolanti	1	oui
ARMOISEAUL	Armoiseaul	1	
SOMBREI	Sombrei	1	
SOMBREL	Sombrel	1	oui
DRAGONI	Dragoni	1	
NEZD	Nezd	1	oui
ARMURES	Armures	1	oui
CORNEL	Cornel	1	oui
PEINTREL	Peintrel	1	oui
BAGARREURP	Bagarreurp	1	
POIRIERA	Poiriera	1	oui
BISOUS	Bisous	1	
ELECTRIQUEI	Éléctriquei	1	oui
CHARBONI	Charboni	1	
VACHALAITT	Vachalaitt	1	
BONHEURC	Bonheurc	1	
FOUDREC	Foudrec	1	oui
VOLCANC	Volcanc	1	oui
AUROREC	Aurorec	1	oui
PEAUPIERREN	Peaupierren	1	oui
CARAPADUREI	Carapadurei	1	
ARMURED'	Armured'	1	oui
PLONGEONI	Plongeoni	1	
ARCENCIELI	Arcencieli	1	oui
COURRIER	Courrier	1	oui
ACHETERVENDRESALUT	Achetervendresalut	1	oui
UTILDONJETERRET	Utildonjeterret	1	oui
UTILSLCTRET	Utilslctret	1	oui
DONJETERRET	Donjeterret	1	oui
#DEXDUREE	#dexduree	1	oui
DUREE	Durée	1	oui
HORLOGE	Horloge	1	
DROITEA	Droitea	1	
GAUCHERETOUR	Gaucheretour	1	oui
LIREPRENDRERETOUR	Lireprendreretour	1	oui
PROCH	Proch	1	
NIV	Niv	1	
KIKI	Kiki	1	
SAUVEE	Sauvée	1	oui
ALDO	Aldo	1	
REUNION	Reunion	1	
DEVELOPPEMENT	Developpement	1	oui
YAHAAAAAAHA	Yahaaaaaaha	1	
APPRENTI	Apprenti	1	oui
MIROIR	Miroir	1	
LUNET	Lunet	1	oui
OBSERVATIONS	Observations	1	oui
PIONS	Pions	1	
MARIO	Mario	1	
GNARD	Gnard	1	
DEPOT	Depot	1	oui
TELEPORTER	Téléporter	1	oui
MARION	Marion	1	
LAVAN	Lavan	1	oui
#MUSIQUE	#musique	1	
BONBON	Bonbon	1	
CAIDS	Caïds	1	
TCHAAA	Tchaaa	1	
SALAME	Salame	1	oui
MONTAGNARDS	Montagnards	1	
BLC	Blc	1	
FLORA	Flora	1	
APPAT	Appât	1	
HO	Ho	1	
