categorie	anglais	francais	note	source
Capacité	SUBSTITUTE	CLONAGE		data/moves/names.asm
Capacité	SUNNY DAY	ZENITH		data/moves/names.asm
Capacité	SUPER FANG	CROC FATAL		data/moves/names.asm
Capacité	SUPERSONIC	ULTRASON		data/moves/names.asm
Capacité	SURF	SURF	identique	data/moves/names.asm
Capacité	SWAGGER	VANTARDISE		data/moves/names.asm
Capacité	SWEET KISS	DOUX BAISER		data/moves/names.asm
Capacité	SWEET SCENT	DOUX PARFUM		data/moves/names.asm
Capacité	SWIFT	METEORES		data/moves/names.asm
Capacité	SWORDS DANCE	DANSE-LAMES		data/moves/names.asm
Capacité	SYNTHESIS	SYNTHESE		data/moves/names.asm
Capacité	TACKLE	CHARGE		data/moves/names.asm
Capacité	TAIL WHIP	MIMI-QUEUE		data/moves/names.asm
Capacité	TAKE DOWN	BELIER		data/moves/names.asm
Capacité	TELEPORT	TELEPORT	identique	data/moves/names.asm
Capacité	THIEF	LARCIN		data/moves/names.asm
Capacité	THRASH	MANIA		data/moves/names.asm
Capacité	THUNDER	FATAL-FOUDRE		data/moves/names.asm
Capacité	THUNDER WAVE	CAGE-ECLAIR		data/moves/names.asm
Capacité	THUNDERBOLT	TONNERRE		data/moves/names.asm
Capacité	THUNDERPUNCH	POING-ECLAIR		data/moves/names.asm
Capacité	THUNDERSHOCK	ECLAIR		data/moves/names.asm
Capacité	TOXIC	TOXIK		data/moves/names.asm
Capacité	TRANSFORM	MORPHING		data/moves/names.asm
Capacité	TRI ATTACK	TRIPLATTAQUE		data/moves/names.asm
Capacité	TRIPLE KICK	TRIPLE PIED		data/moves/names.asm
Capacité	TWINEEDLE	DOUBLE-DARD		data/moves/names.asm
Capacité	TWISTER	OURAGAN		data/moves/names.asm
Capacité	VICEGRIP	FORCE POIGNE		data/moves/names.asm
Capacité	VINE WHIP	FOUET LIANES		data/moves/names.asm
Capacité	VITAL THROW	CORPS PERDU		data/moves/names.asm
Capacité	WATER GUN	PISTOLET A O		data/moves/names.asm
Capacité	WATERFALL	CASCADE		data/moves/names.asm
Capacité	WHIRLPOOL	SIPHON		data/moves/names.asm
Capacité	WHIRLWIND	CYCLONE		data/moves/names.asm
Capacité	WING ATTACK	CRU-AILE		data/moves/names.asm
Capacité	WITHDRAW	REPLI		data/moves/names.asm
Capacité	WRAP	LIGOTAGE		data/moves/names.asm
Capacité	ZAP CANNON	ELECANON		data/moves/names.asm
Classe de dresseur	#FAN	#FAN	identique	data/trainers/class_names.asm
Classe de dresseur	#MANIAC	#MANIAC	identique	data/trainers/class_names.asm
Classe de dresseur	#MON PROF.	PROF.#MON		data/trainers/class_names.asm
Classe de dresseur	<PKMN> TRAINER	DRES. <PKMN>		data/trainers/class_names.asm
Classe de dresseur	BEAUTY	CANON		data/trainers/class_names.asm
Classe de dresseur	BIKER	MOTARD		data/trainers/class_names.asm
Classe de dresseur	BIRD KEEPER	ORNITHOLOGUE		data/trainers/class_names.asm
Classe de dresseur	BLACKBELT	KARATEKA		data/trainers/class_names.asm
Classe de dresseur	BOARDER	SURFER		data/trainers/class_names.asm
Classe de dresseur	BUG CATCHER	SCOUT		data/trainers/class_names.asm
Classe de dresseur	BURGLAR	PILLARD		data/trainers/class_names.asm
Classe de dresseur	CAMPER	CAMPEUR		data/trainers/class_names.asm
Classe de dresseur	CHAMPION	MAITRE		data/trainers/class_names.asm
Classe de dresseur	COOLTRAINER	TOPDRESSEUR		data/trainers/class_names.asm
Classe de dresseur	ELITE FOUR	CONSEIL 4		data/trainers/class_names.asm
Classe de dresseur	FIREBREATHER	CRACHE-FEU		data/trainers/class_names.asm
Classe de dresseur	FISHER	PECHEUR		data/trainers/class_names.asm
Classe de dresseur	GENTLEMAN	GENTLEMAN	identique	data/trainers/class_names.asm
Classe de dresseur	GUITARIST	GUITARISTE		data/trainers/class_names.asm
Classe de dresseur	HIKER	MONTAGNARD		data/trainers/class_names.asm
Classe de dresseur	JUGGLER	JONGLEUR		data/trainers/class_names.asm
Classe de dresseur	KIMONO GIRL	KIMONO		data/trainers/class_names.asm
Classe de dresseur	LASS	FILLETTE		data/trainers/class_names.asm
Classe de dresseur	LEADER	CHAMPION		data/trainers/class_names.asm
Classe de dresseur	MEDIUM	MEDIUM	identique	data/trainers/class_names.asm
Classe de dresseur	MYSTICALMAN	MYSTIQUE		data/trainers/class_names.asm
Classe de dresseur	OFFICER	OFFICIER		data/trainers/class_names.asm
Classe de dresseur	PICNICKER	PIQUE-NIQUE		data/trainers/class_names.asm
Classe de dresseur	PSYCHIC	KINESISTE		data/trainers/class_names.asm
Classe de dresseur	RIVAL	RIVAL	identique	data/trainers/class_names.asm
Classe de dresseur	ROCKET	ROCKET	identique	data/trainers/class_names.asm
Classe de dresseur	SAGE	SAGE	identique	data/trainers/class_names.asm
Classe de dresseur	SAILOR	MARIN		data/trainers/class_names.asm
Classe de dresseur	SCHOOLBOY	ECOLIER		data/trainers/class_names.asm
Classe de dresseur	SCIENTIST	SCIENTIFIQUE		data/trainers/class_names.asm
Classe de dresseur	SKIER	SKIEUSE		data/trainers/class_names.asm
Classe de dresseur	SUPER NERD	INTELLO		data/trainers/class_names.asm
Classe de dresseur	SWIMMER♀	NAGEUSE		data/trainers/class_names.asm
Classe de dresseur	SWIMMER♂	NAGEUR		data/trainers/class_names.asm
Classe de dresseur	TEACHER	PROF		data/trainers/class_names.asm
Classe de dresseur	TWINS	JUMELLES		data/trainers/class_names.asm
Classe de dresseur	YOUNGSTER	GAMIN		data/trainers/class_names.asm
Contact Pokématos	----------	----------	identique	data/phone/non_trainer_names.asm
Contact Pokématos	BIKE SHOP:	CYCLES A GOGO:		data/phone/non_trainer_names.asm
Contact Pokématos	BILL:	LEO:		data/phone/non_trainer_names.asm
Contact Pokématos	BUENA:<LF>   DISC JOCKEY	BUENA:<LF>   DJ		data/phone/non_trainer_names.asm
Contact Pokématos	MOM:	MAMAN:		data/phone/non_trainer_names.asm
Contact Pokématos	PROF.ELM:	PROF.ORME:		data/phone/non_trainer_names.asm
Décoration	BED	LIT		data/decorations/names.asm
Décoration	BIG	SUPER		data/decorations/names.asm
Décoration	BLUE	:BLEU		data/decorations/names.asm
Décoration	CANCEL	RETOUR		data/decorations/names.asm
Décoration	CARPET	TAPIS		data/decorations/names.asm
Décoration	DOLL	POUPEE		data/decorations/names.asm
Décoration	FEATHERY	A PLUMES		data/decorations/names.asm
Décoration	GOLD TROPHY	TROPHEE OR		data/decorations/names.asm
Décoration	GREEN	:VERT		data/decorations/names.asm
Décoration	JUMBOPLANT	MAXI PLANTE		data/decorations/names.asm
Décoration	MAGNAPLANT	GROSSE PLANTE		data/decorations/names.asm
Décoration	NES	NES	identique	data/decorations/names.asm
Décoration	NINTENDO 64	NINTENDO 64	identique	data/decorations/names.asm
Décoration	PIKACHU	PIKACHU	identique	data/decorations/names.asm
Décoration	PINK	:ROSE		data/decorations/names.asm
Décoration	POLKADOT	A POIS		data/decorations/names.asm
Décoration	POSTER	POSTER	identique	data/decorations/names.asm
Décoration	PUT IT AWAY	RANGER		data/decorations/names.asm
Décoration	RED	:ROUGE		data/decorations/names.asm
Décoration	SILVER TROPHY	TROPHEE ARGENT		data/decorations/names.asm
Décoration	SUPER NES	SUPER NINTENDO		data/decorations/names.asm
Décoration	SURF PIKACHU DOLL	JOUETPIKACHU SURF		data/decorations/names.asm
Décoration	TOWN MAP	CARTE		data/decorations/names.asm
Décoration	TROPICPLANT	PLANTE TROPICALE		data/decorations/names.asm
Décoration	VIRTUAL BOY	VIRTUAL BOY	identique	data/decorations/names.asm
Décoration	YELLOW	:JAUNE		data/decorations/names.asm
Lieu	#MON<BSP>MANSION	MANOIR<BSP>#MON		data/maps/landmarks.asm
Lieu	AZALEA TOWN	ECORCIA		data/maps/landmarks.asm
Lieu	BATTLE<BSP>TOWER	TOUR DE<BSP>COMBAT		data/maps/landmarks.asm
Lieu	BLACKTHORN<BSP>CITY	EBENELLE		data/maps/landmarks.asm
Lieu	BURNED<BSP>TOWER	TOUR<BSP>CENDREE		data/maps/landmarks.asm
Lieu	CELADON<BSP>CITY	CELADOPOLE		data/maps/landmarks.asm
Lieu	CERULEAN<BSP>CAVE	CAVERNE<BSP>AZUREE		data/maps/landmarks.asm
Lieu	CERULEAN<BSP>CITY	AZURIA		data/maps/landmarks.asm
Lieu	CHERRYGROVE<BSP>CITY	VILLE<BSP>GRIOTTE		data/maps/landmarks.asm
Lieu	CIANWOOD<BSP>CITY	IRISIA		data/maps/landmarks.asm
Lieu	CINNABAR<BSP>ISLAND	CRAMOIS'<WBR>ILE		data/maps/landmarks.asm
Lieu	DARK CAVE	ANTRE NOIRE		data/maps/landmarks.asm
Lieu	DIGLETT'S<BSP>CAVE	CAVE<BSP>TAUPIQUEUR		data/maps/landmarks.asm
Lieu	DRAGON'S<BSP>DEN	ANTRE DU<BSP>DRAGON		data/maps/landmarks.asm
Lieu	ECRUTEAK<BSP>CITY	ROSALIA		data/maps/landmarks.asm
Lieu	FAST SHIP	BATEAU<BSP>EXPRESS		data/maps/landmarks.asm
Lieu	FUCHSIA<BSP>CITY	PARMANIE		data/maps/landmarks.asm
Lieu	GOLDENROD<BSP>CITY	DOUBLON<1E>VILLE		data/maps/landmarks.asm
Lieu	ICE PATH	ROUTE<BSP>DE GLACE		data/maps/landmarks.asm
Lieu	ILEX<BSP>FOREST	BOIS AUX<BSP>CHENES		data/maps/landmarks.asm
Lieu	INDIGO<BSP>PLATEAU	PLATEAU<BSP>INDIGO		data/maps/landmarks.asm
Lieu	LAKE OF<BSP>RAGE	LAC<BSP>COLERE		data/maps/landmarks.asm
Lieu	LAV<BSP>RADIO TOWER	TOUR RADIO<BSP>LAVAN.		data/maps/landmarks.asm
Lieu	LAVENDER<BSP>TOWN	LAVANVILLE		data/maps/landmarks.asm
Lieu	LIGHTHOUSE	PHARE		data/maps/landmarks.asm
Lieu	MAHOGANY<BSP>TOWN	ACAJOU		data/maps/landmarks.asm
Lieu	MT.MOON	MONT<BSP>SELENITE		data/maps/landmarks.asm
Lieu	MT.MORTAR	MONT<BSP>CREUSET		data/maps/landmarks.asm
Lieu	N/A	...		data/maps/landmarks.asm
Lieu	NATIONAL<BSP>PARK	PARC<BSP>NATUREL		data/maps/landmarks.asm
Lieu	NEW BARK<BSP>TOWN	BOURG<BSP>GEON		data/maps/landmarks.asm
Lieu	OLIVINE<BSP>CITY	OLIVILLE		data/maps/landmarks.asm
Lieu	PALLET TOWN	BOURG<BSP>PALETTE		data/maps/landmarks.asm
Lieu	PEWTER CITY	ARGENTA		data/maps/landmarks.asm
Lieu	POWER PLANT	CENTRALE		data/maps/landmarks.asm
Lieu	RADIO TOWER	TOUR RADIO		data/maps/landmarks.asm
Lieu	ROCK TUNNEL	GROTTE		data/maps/landmarks.asm
Lieu	ROUTE 1	ROUTE 1	identique	data/maps/landmarks.asm
Lieu	ROUTE 10	ROUTE 10	identique	data/maps/landmarks.asm
Lieu	ROUTE 11	ROUTE 11	identique	data/maps/landmarks.asm
Lieu	ROUTE 12	ROUTE 12	identique	data/maps/landmarks.asm
Lieu	ROUTE 13	ROUTE 13	identique	data/maps/landmarks.asm
Lieu	ROUTE 14	ROUTE 14	identique	data/maps/landmarks.asm
Lieu	ROUTE 15	ROUTE 15	identique	data/maps/landmarks.asm
Lieu	ROUTE 16	ROUTE 16	identique	data/maps/landmarks.asm
Lieu	ROUTE 17	ROUTE 17	identique	data/maps/landmarks.asm
Lieu	ROUTE 18	ROUTE 18	identique	data/maps/landmarks.asm
Lieu	ROUTE 19	ROUTE 19	identique	data/maps/landmarks.asm
Lieu	ROUTE 2	ROUTE 2	identique	data/maps/landmarks.asm
Lieu	ROUTE 20	ROUTE 20	identique	data/maps/landmarks.asm
Lieu	ROUTE 21	ROUTE 21	identique	data/maps/landmarks.asm
Lieu	ROUTE 22	ROUTE 22	identique	data/maps/landmarks.asm
Lieu	ROUTE 23	ROUTE 23	identique	data/maps/landmarks.asm
Lieu	ROUTE 24	ROUTE 24	identique	data/maps/landmarks.asm
Lieu	ROUTE 25	ROUTE 25	identique	data/maps/landmarks.asm
Lieu	ROUTE 26	ROUTE 26	identique	data/maps/landmarks.asm
Lieu	ROUTE 27	ROUTE 27	identique	data/maps/landmarks.asm
Lieu	ROUTE 28	ROUTE 28	identique	data/maps/landmarks.asm
Lieu	ROUTE 29	ROUTE 29	identique	data/maps/landmarks.asm
Lieu	ROUTE 3	ROUTE 3	identique	data/maps/landmarks.asm
Lieu	ROUTE 30	ROUTE 30	identique	data/maps/landmarks.asm
Lieu	ROUTE 31	ROUTE 31	identique	data/maps/landmarks.asm
Lieu	ROUTE 32	ROUTE 32	identique	data/maps/landmarks.asm
Lieu	ROUTE 33	ROUTE 33	identique	data/maps/landmarks.asm
Lieu	ROUTE 34	ROUTE 34	identique	data/maps/landmarks.asm
Lieu	ROUTE 35	ROUTE 35	identique	data/maps/landmarks.asm
Lieu	ROUTE 36	ROUTE 36	identique	data/maps/landmarks.asm
Lieu	ROUTE 37	ROUTE 37	identique	data/maps/landmarks.asm
Lieu	ROUTE 38	ROUTE 38	identique	data/maps/landmarks.asm
Lieu	ROUTE 39	ROUTE 39	identique	data/maps/landmarks.asm
Lieu	ROUTE 4	ROUTE 4	identique	data/maps/landmarks.asm
Lieu	ROUTE 40	ROUTE 40	identique	data/maps/landmarks.asm
Lieu	ROUTE 41	ROUTE 41	identique	data/maps/landmarks.asm
Lieu	ROUTE 42	ROUTE 42	identique	data/maps/landmarks.asm
Lieu	ROUTE 43	ROUTE 43	identique	data/maps/landmarks.asm
Lieu	ROUTE 44	ROUTE 44	identique	data/maps/landmarks.asm
Lieu	ROUTE 45	ROUTE 45	identique	data/maps/landmarks.asm
Lieu	ROUTE 46	ROUTE 46	identique	data/maps/landmarks.asm
Lieu	ROUTE 5	ROUTE 5	identique	data/maps/landmarks.asm
Lieu	ROUTE 6	ROUTE 6	identique	data/maps/landmarks.asm
Lieu	ROUTE 7	ROUTE 7	identique	data/maps/landmarks.asm
Lieu	ROUTE 8	ROUTE 8	identique	data/maps/landmarks.asm
Lieu	ROUTE 9	ROUTE 9	identique	data/maps/landmarks.asm
Lieu	RUINS<BSP>OF ALPH	RUINES<BSP>D'ALPHA		data/maps/landmarks.asm
Lieu	SAFARI ZONE	PARC SAFARI		data/maps/landmarks.asm
Lieu	SAFFRON<BSP>CITY	SAFRANIA		data/maps/landmarks.asm
Lieu	SEAFOAM<BSP>ISLANDS	ILES<BSP>ECUME		data/maps/landmarks.asm
